Source,InformationFlow,Destination,SourceLayer,DestLayer
Bangkok Emergency Management Center,decision support information,352091234567801 Sony Xperia 1 VI - Personnel Device,Physical,Physical
Bangkok Emergency Management Center,decision support information,861234567890125 LG Velvet 2 - Personnel Device,Physical,Physical
Pnom Pehn Emergency Management Center,decision support information,352098765432101 Meizu 20 Pro - Personnel Device,Physical,Physical
Pnom Pehn Emergency Management Center,decision support information,861234567890126 Sharp Aquos R8 - Personnel Device,Physical,Physical
Pnom Pehn Emergency Management Center,decision support information,352091234567802 Micromax Infinity 5 - Personnel Device,Physical,Physical
Pnom Pehn Emergency Management Center,decision support information,861234567890127 Infinix Zero Ultra - Personnel Device,Physical,Physical
Pnom Pehn Emergency Management Center,decision support information,352098765432102 Tecno Phantom X3 - Personnel Device,Physical,Physical
Pnom Pehn Emergency Management Center,decision support information,861234567890128 Itel Vision 5 - Personnel Device,Physical,Physical
Pnom Pehn Emergency Management Center,decision support information,352091234567803 Lava Agni 3 - Personnel Device,Physical,Physical
Pnom Pehn Emergency Management Center,decision support information,861234567890129 Coolpad Legacy 2 - Personnel Device,Physical,Physical
Pnom Pehn Emergency Management Center,decision support information,352098765432103 Alcatel 5X - Personnel Device,Physical,Physical
Pnom Pehn Emergency Management Center,decision support information,861234567890130 Fairphone 5 - Personnel Device,Physical,Physical
Pnom Pehn Emergency Management Center,decision support information,352091234567804 Cat S65 - Personnel Device,Physical,Physical
Pnom Pehn Emergency Management Center,decision support information,861234567890131 Doogee S100 - Personnel Device,Physical,Physical
Pnom Pehn Emergency Management Center,decision support information,352098765432104 Ulefone Armor 15 - Personnel Device,Physical,Physical
Pnom Pehn Emergency Management Center,decision support information,861234567890132 BLU G91 Max - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,decision support information,352091234567805 Kyocera DuraForce Ultra - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,decision support information,861234567890133 Palm Phone 2 - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,decision support information,352098765432105 Google Pixel Fold - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,decision support information,861234567890134 Samsung Galaxy Z Flip 6 - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,decision support information,352091234567806 Motorola Razr 2025 - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,decision support information,861234567890135 Xiaomi Mi Mix 5 - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,decision support information,351982104567890 Galaxy S26 Ultra - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,decision support information,864209153784321 iPhone 17 Pro Max - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,decision support information,352091847563211 Pixel 10 XL - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,decision support information,864512309876232 Xperia Z8 - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,decision support information,352091847563212 OnePlus 14T - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,decision support information,861234509876544 Redmi Note 16 Pro - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,decision support information,359876120345679 Moto G200 - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,decision support information,864209875612341 Nokia X60 - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,decision support information,352098761234568 Huawei P70 Pro - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,decision support information,861234567890124 Oppo Find X8 - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,decision support information,352091234567891 Vivo X100 - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,decision support information,861234098765433 Realme GT Neo 7 - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,decision support information,352098765432110 Asus ROG Phone 9 - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,decision support information,861234567809877 Lenovo Legion Y100 - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,decision support information,352091234098766 Honor Magic 7 - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,decision support information,861234567801235 ZTE Axon 60 - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,decision support information,352098765401235 BlackBerry Key6 - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,decision support information,861234567890125 HTC U24 Pro - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,decision support information,352091234567802 Sony Xperia 1 VII - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,decision support information,861234567890126 LG Velvet 3 - Personnel Device,Physical,Physical
Bangkok Emergency Management Center,incident command information,357192084561234 Galaxy S25 Ultra - Personnel Device,Physical,Physical
Bangkok Emergency Management Center,incident command information,864209153782145 iPhone 16 Pro Max - Personnel Device,Physical,Physical
Bangkok Emergency Management Center,incident command information,351984206713589 Pixel 9 XL - Personnel Device,Physical,Physical
Bangkok Emergency Management Center,incident command information,864512309876231 Xperia Z7 - Personnel Device,Physical,Physical
Bangkok Emergency Management Center,incident command information,352091847563210 OnePlus 13T - Personnel Device,Physical,Physical
Bangkok Emergency Management Center,incident command information,861234509876543 Redmi Note 15 Pro - Personnel Device,Physical,Physical
Bangkok Emergency Management Center,incident command information,359876120345678 Moto G100 - Personnel Device,Physical,Physical
Bangkok Emergency Management Center,incident command information,864209875612340 Nokia X50 - Personnel Device,Physical,Physical
Bangkok Emergency Management Center,incident command information,352098761234567 Huawei P60 Pro - Personnel Device,Physical,Physical
Bangkok Emergency Management Center,incident command information,861234567890123 Oppo Find X7 - Personnel Device,Physical,Physical
Bangkok Emergency Management Center,incident command information,352091234567890 Vivo X90 - Personnel Device,Physical,Physical
Bangkok Emergency Management Center,incident command information,861234098765432 Realme GT Neo 6 - Personnel Device,Physical,Physical
Bangkok Emergency Management Center,incident command information,352098765432109 Asus ROG Phone 8 - Personnel Device,Physical,Physical
Bangkok Emergency Management Center,incident command information,861234567809876 Lenovo Legion Y90 - Personnel Device,Physical,Physical
Bangkok Emergency Management Center,incident command information,352091234098765 Honor Magic 6 - Personnel Device,Physical,Physical
Bangkok Emergency Management Center,incident command information,861234567801234 ZTE Axon 50 - Personnel Device,Physical,Physical
Bangkok Emergency Management Center,incident command information,352098765401234 BlackBerry Key5 - Personnel Device,Physical,Physical
Bangkok Emergency Management Center,incident command information,861234567890124 HTC U23 Pro - Personnel Device,Physical,Physical
Bangkok Emergency Management Center,incident command information,352091234567801 Sony Xperia 1 VI - Personnel Device,Physical,Physical
Bangkok Emergency Management Center,incident command information,861234567890125 LG Velvet 2 - Personnel Device,Physical,Physical
Pnom Pehn Emergency Management Center,incident command information,352098765432101 Meizu 20 Pro - Personnel Device,Physical,Physical
Pnom Pehn Emergency Management Center,incident command information,861234567890126 Sharp Aquos R8 - Personnel Device,Physical,Physical
Pnom Pehn Emergency Management Center,incident command information,352091234567802 Micromax Infinity 5 - Personnel Device,Physical,Physical
Pnom Pehn Emergency Management Center,incident command information,861234567890127 Infinix Zero Ultra - Personnel Device,Physical,Physical
Pnom Pehn Emergency Management Center,incident command information,352098765432102 Tecno Phantom X3 - Personnel Device,Physical,Physical
Pnom Pehn Emergency Management Center,incident command information,861234567890128 Itel Vision 5 - Personnel Device,Physical,Physical
Pnom Pehn Emergency Management Center,incident command information,352091234567803 Lava Agni 3 - Personnel Device,Physical,Physical
Pnom Pehn Emergency Management Center,incident command information,861234567890129 Coolpad Legacy 2 - Personnel Device,Physical,Physical
Pnom Pehn Emergency Management Center,incident command information,352098765432103 Alcatel 5X - Personnel Device,Physical,Physical
Pnom Pehn Emergency Management Center,incident command information,861234567890130 Fairphone 5 - Personnel Device,Physical,Physical
Pnom Pehn Emergency Management Center,incident command information,352091234567804 Cat S65 - Personnel Device,Physical,Physical
Pnom Pehn Emergency Management Center,incident command information,861234567890131 Doogee S100 - Personnel Device,Physical,Physical
Pnom Pehn Emergency Management Center,incident command information,352098765432104 Ulefone Armor 15 - Personnel Device,Physical,Physical
Pnom Pehn Emergency Management Center,incident command information,861234567890132 BLU G91 Max - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,incident command information,352091234567805 Kyocera DuraForce Ultra - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,incident command information,861234567890133 Palm Phone 2 - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,incident command information,352098765432105 Google Pixel Fold - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,incident command information,861234567890134 Samsung Galaxy Z Flip 6 - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,incident command information,352091234567806 Motorola Razr 2025 - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,incident command information,861234567890135 Xiaomi Mi Mix 5 - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,incident command information,351982104567890 Galaxy S26 Ultra - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,incident command information,864209153784321 iPhone 17 Pro Max - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,incident command information,352091847563211 Pixel 10 XL - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,incident command information,864512309876232 Xperia Z8 - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,incident command information,352091847563212 OnePlus 14T - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,incident command information,861234509876544 Redmi Note 16 Pro - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,incident command information,359876120345679 Moto G200 - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,incident command information,864209875612341 Nokia X60 - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,incident command information,352098761234568 Huawei P70 Pro - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,incident command information,861234567890124 Oppo Find X8 - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,incident command information,352091234567891 Vivo X100 - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,incident command information,861234098765433 Realme GT Neo 7 - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,incident command information,352098765432110 Asus ROG Phone 9 - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,incident command information,861234567809877 Lenovo Legion Y100 - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,incident command information,352091234098766 Honor Magic 7 - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,incident command information,861234567801235 ZTE Axon 60 - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,incident command information,352098765401235 BlackBerry Key6 - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,incident command information,861234567890125 HTC U24 Pro - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,incident command information,352091234567802 Sony Xperia 1 VII - Personnel Device,Physical,Physical
Khorathidin Regional Emergency Management Center,incident command information,861234567890126 LG Velvet 3 - Personnel Device,Physical,Physical
Bangkok Ambulance 01 - Emergency Vehicle OBE,emergency personnel information presentation,Kamonchanok Srisuwan - Emergency Personnel,Physical,Physical
Bangkok Ambulance 01 - Emergency Vehicle OBE,emergency personnel information presentation,Nattapong Wattanachai - Emergency Personnel,Physical,Physical
Bangkok Ambulance 02 - Emergency Vehicle OBE,emergency personnel information presentation,Pimchanok Boonyarat - Emergency Personnel,Physical,Physical
Bangkok Ambulance 02 - Emergency Vehicle OBE,emergency personnel information presentation,Thanakorn Rattanapong - Emergency Personnel,Physical,Physical
Bangkok Ambulance 03 - Emergency Vehicle OBE,emergency personnel information presentation,Supalak Thongchai - Emergency Personnel,Physical,Physical
Bangkok Ambulance 03 - Emergency Vehicle OBE,emergency personnel information presentation,Ananda Chaisuriyakul - Emergency Personnel,Physical,Physical
Bangkok Police 01 - Emergency Vehicle OBE,emergency personnel information presentation,Kritsada Phanurat - Emergency Personnel,Physical,Physical
Bangkok Police 01 - Emergency Vehicle OBE,emergency personnel information presentation,Nicha Suphaphanich - Emergency Personnel,Physical,Physical
Bangkok Police 02 - Emergency Vehicle OBE,emergency personnel information presentation,Ornpreeya Sakulchai - Emergency Personnel,Physical,Physical
Bangkok Police 02 - Emergency Vehicle OBE,emergency personnel information presentation,Ratchata Nimsakul - Emergency Personnel,Physical,Physical
Bangkok Police 03 - Emergency Vehicle OBE,emergency personnel information presentation,Sakchai Pradchaphet - Emergency Personnel,Physical,Physical
Bangkok Police 03 - Emergency Vehicle OBE,emergency personnel information presentation,Tassanee Yodkamol - Emergency Personnel,Physical,Physical
Bangkok Police 04 - Emergency Vehicle OBE,emergency personnel information presentation,Udom Siripong - Emergency Personnel,Physical,Physical
Bangkok Police 04 - Emergency Vehicle OBE,emergency personnel information presentation,Vichai Thongprasert - Emergency Personnel,Physical,Physical
Bangkok Police 05 - Emergency Vehicle OBE,emergency personnel information presentation,Wanida Kittisakul - Emergency Personnel,Physical,Physical
Bangkok Police 05 - Emergency Vehicle OBE,emergency personnel information presentation,Yutthana Chaisuwan - Emergency Personnel,Physical,Physical
Bangkok Fire 01 - Emergency Vehicle OBE,emergency personnel information presentation,Amara Boonyasiri - Emergency Personnel,Physical,Physical
Bangkok Fire 01 - Emergency Vehicle OBE,emergency personnel information presentation,Boonchai Tansakul - Emergency Personnel,Physical,Physical
Bangkok Fire 02 - Emergency Vehicle OBE,emergency personnel information presentation,Chutima Pattanapong - Emergency Personnel,Physical,Physical
Bangkok Fire 02 - Emergency Vehicle OBE,emergency personnel information presentation,Duangjai Wongthip - Emergency Personnel,Physical,Physical
Pnom Pehn Ambulance 01 - Emergency Vehicle OBE,emergency personnel information presentation,Ekachai Suwannarat - Emergency Personnel,Physical,Physical
Pnom Pehn Ambulance 01 - Emergency Vehicle OBE,emergency personnel information presentation,Fuangfah Kittipong - Emergency Personnel,Physical,Physical
Pnom Pehn Ambulance 02 - Emergency Vehicle OBE,emergency personnel information presentation,Gun Noppakun - Emergency Personnel,Physical,Physical
Pnom Pehn Ambulance 02 - Emergency Vehicle OBE,emergency personnel information presentation,Hansa Chotirat - Emergency Personnel,Physical,Physical
Pnom Pehn Police 01 - Emergency Vehicle OBE,emergency personnel information presentation,Inthira Saengchai - Emergency Personnel,Physical,Physical
Pnom Pehn Police 01 - Emergency Vehicle OBE,emergency personnel information presentation,Jariya Phanichkul - Emergency Personnel,Physical,Physical
Pnom Pehn Police 02 - Emergency Vehicle OBE,emergency personnel information presentation,Kamol Boonsri - Emergency Personnel,Physical,Physical
Pnom Pehn Police 02 - Emergency Vehicle OBE,emergency personnel information presentation,Lawan Thongchai - Emergency Personnel,Physical,Physical
Pnom Pehn Police 03 - Emergency Vehicle OBE,emergency personnel information presentation,Metha Rattanapong - Emergency Personnel,Physical,Physical
Pnom Pehn Police 03 - Emergency Vehicle OBE,emergency personnel information presentation,Nattaya Kongsiri - Emergency Personnel,Physical,Physical
Pnom Pehn Fire 01 - Emergency Vehicle OBE,emergency personnel information presentation,Anusorn Wattanapanich - Emergency Personnel,Physical,Physical
Pnom Pehn Fire 01 - Emergency Vehicle OBE,emergency personnel information presentation,Darika Suphakit - Emergency Personnel,Physical,Physical
Pnom Pehn Fire 02 - Emergency Vehicle OBE,emergency personnel information presentation,Ekkachai Prasertkul - Emergency Personnel,Physical,Physical
Pnom Pehn Fire 02 - Emergency Vehicle OBE,emergency personnel information presentation,Fon Chantarak - Emergency Personnel,Physical,Physical
Khorathidin Regional Ambulance 01 - Emergency Vehicle OBE,emergency personnel information presentation,Ganya Rattanawan - Emergency Personnel,Physical,Physical
Khorathidin Regional Ambulance 01 - Emergency Vehicle OBE,emergency personnel information presentation,Hiran Phongpanich - Emergency Personnel,Physical,Physical
Khorathidin Regional Ambulance 02 - Emergency Vehicle OBE,emergency personnel information presentation,Issara Wongchai - Emergency Personnel,Physical,Physical
Khorathidin Regional Ambulance 02 - Emergency Vehicle OBE,emergency personnel information presentation,Jirawat Boonmee - Emergency Personnel,Physical,Physical
Khorathidin Regional Ambulance 03 - Emergency Vehicle OBE,emergency personnel information presentation,Kanchana Srisopa - Emergency Personnel,Physical,Physical
Khorathidin Regional Ambulance 03 - Emergency Vehicle OBE,emergency personnel information presentation,Lalita Thanaporn - Emergency Personnel,Physical,Physical
Khorathidin Regional Ambulance 04 - Emergency Vehicle OBE,emergency personnel information presentation,Manop Chotiphan - Emergency Personnel,Physical,Physical
Khorathidin Regional Ambulance 04 - Emergency Vehicle OBE,emergency personnel information presentation,Napat Srisuwan - Emergency Personnel,Physical,Physical
Khorathidin Regional Ambulance 05 - Emergency Vehicle OBE,emergency personnel information presentation,Orawan Srisopa - Emergency Personnel,Physical,Physical
Khorathidin Regional Ambulance 05 - Emergency Vehicle OBE,emergency personnel information presentation,Pattaraporn Jitpraphai - Emergency Personnel,Physical,Physical
Khorathidin Regional Ambulance 06 - Emergency Vehicle OBE,emergency personnel information presentation,Phanupong Wongpracha - Emergency Personnel,Physical,Physical
Khorathidin Regional Ambulance 06 - Emergency Vehicle OBE,emergency personnel information presentation,Ratchanee Jitsakulchai - Emergency Personnel,Physical,Physical
Khorathidin Regional Police 01 - Emergency Vehicle OBE,emergency personnel information presentation,Somchai Wattanapanichkul - Emergency Personnel,Physical,Physical
Khorathidin Regional Police 01 - Emergency Vehicle OBE,emergency personnel information presentation,Tanaporn Boonprakob - Emergency Personnel,Physical,Physical
Khorathidin Regional Police 02 - Emergency Vehicle OBE,emergency personnel information presentation,Uthai Sirisopa - Emergency Personnel,Physical,Physical
Khorathidin Regional Police 02 - Emergency Vehicle OBE,emergency personnel information presentation,Viyada Thanaratkul - Emergency Personnel,Physical,Physical
Khorathidin Regional Police 03 - Emergency Vehicle OBE,emergency personnel information presentation,Worawut Chaisiriwanichkul - Emergency Personnel,Physical,Physical
Khorathidin Regional Police 03 - Emergency Vehicle OBE,emergency personnel information presentation,Yuwadee Phongsiriwanichkul - Emergency Personnel,Physical,Physical
Khorathidin Regional Fire 01 - Emergency Vehicle OBE,emergency personnel information presentation,Arthit Kanchanapong - Emergency Personnel,Physical,Physical
Khorathidin Regional Fire 01 - Emergency Vehicle OBE,emergency personnel information presentation,Benjamas Thammarat - Emergency Personnel,Physical,Physical
Khorathidin Regional Fire 02 - Emergency Vehicle OBE,emergency personnel information presentation,Chaiwat Phanurat - Emergency Personnel,Physical,Physical
Khorathidin Regional Fire 02 - Emergency Vehicle OBE,emergency personnel information presentation,Ekkarat Suwannarat - Emergency Personnel,Physical,Physical
Khorathidin Regional Fire 03 - Emergency Vehicle OBE,emergency personnel information presentation,Fah Thongprasert - Emergency Personnel,Physical,Physical
Khorathidin Regional Fire 03 - Emergency Vehicle OBE,emergency personnel information presentation,Gun Noppadolchai - Emergency Personnel,Physical,Physical
Khorathidin Regional Fire 04 - Emergency Vehicle OBE,emergency personnel information presentation,Hansa Chotiphanichkul - Emergency Personnel,Physical,Physical
Khorathidin Regional Fire 04 - Emergency Vehicle OBE,emergency personnel information presentation,Inthira Saengsuwan - Emergency Personnel,Physical,Physical
Bangkok Ambulance 01 - Emergency Vehicle OBE,incident scene status,Bangkok Emergency Management Center,Physical,Physical
Bangkok Ambulance 02 - Emergency Vehicle OBE,incident scene status,Bangkok Emergency Management Center,Physical,Physical
